id,query,category,expected_law,expected_article,expected_article_id,expected_keywords,rank,hit_at_1,hit_at_3,hit_at_5,latency_ms,retrieved_articles
1,작업장 바닥의 전도 위험은 어떻게 막아야 하나요?,전도,산업안전보건기준에 관한 규칙,제3조,61,"[""전도"", ""바닥""]",,False,False,False,5626.35,"[{""article_id"": 426, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제369조"", ""article_title"": ""작업 시 준수사항""}, {""article_id"": 391, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제332조"", ""article_title"": ""동바리 조립 시의 안전조치""}, {""article_id"": 390, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제331조의3"", ""article_title"": ""작업발판 일체형 거푸집의 안전조치""}, {""article_id"": 298, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제241조의2"", ""article_title"": ""화재감시자""}, {""article_id"": 290, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제234조"", ""article_title"": ""가스등의 용기""}]"
2,현장 통로 조명 설치 기준을 알려줘,통로,산업안전보건기준에 관한 규칙,제21조,80,"[""통로"", ""조명""]",,False,False,False,4563.62,"[{""article_id"": 392, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제332조의2"", ""article_title"": ""동바리 유형에 따른 동바리 조립 시의 안전조치""}, {""article_id"": 189, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제132조"", ""article_title"": ""양중기""}, {""article_id"": 4143, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제30조"", ""article_title"": ""계단의 난간""}, {""article_id"": 472, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제415조"", ""article_title"": ""추락ㆍ충돌ㆍ협착 등의 방지""}, {""article_id"": 447, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제390조"", ""article_title"": ""하역작업장의 조치기준""}]"
3,가설통로는 어떤 구조여야 합니까?,통로,산업안전보건기준에 관한 규칙,제23조,82,"[""가설통로"", ""구조""]",,False,False,False,4391.05,"[{""article_id"": 242, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제186조"", ""article_title"": ""고소작업대 설치 등의 조치""}]"
4,사다리식 통로의 안전 구조를 확인하고 싶어요,통로,산업안전보건기준에 관한 규칙,제24조,83,"[""사다리식 통로"", ""구조""]",2,False,True,True,3575.82,"[{""article_id"": 84, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제25조"", ""article_title"": ""갱내통로 등의 위험 방지""}, {""article_id"": 83, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제24조"", ""article_title"": ""사다리식 통로 등의 구조""}, {""article_id"": 447, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제390조"", ""article_title"": ""하역작업장의 조치기준""}, {""article_id"": 439, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제382조"", ""article_title"": ""가설통로의 설치""}, {""article_id"": 242, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제186조"", ""article_title"": ""고소작업대 설치 등의 조치""}]"
5,계단 난간은 반드시 설치해야 하나요?,통로,산업안전보건기준에 관한 규칙,제30조,4143,"[""계단"", ""난간""]",1,True,True,True,4919.87,"[{""article_id"": 4143, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제30조"", ""article_title"": ""계단의 난간""}, {""article_id"": 312, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제255조"", ""article_title"": ""화학설비를 설치하는 건축물의 구조""}, {""article_id"": 88, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제29조"", ""article_title"": ""천장의 높이""}, {""article_id"": 87, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제28조"", ""article_title"": ""계단참의 설치""}, {""article_id"": 86, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제27조"", ""article_title"": ""계단의 폭""}]"
6,보호구 지급에 관한 사업주 의무는 무엇인가요?,보호구,산업안전보건기준에 관한 규칙,제32조,90,"[""보호구"", ""지급""]",,False,False,False,3599.08,"[{""article_id"": 718, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제668조"", ""article_title"": ""비전리전자기파에 의한 건강장해 예방 조치""}, {""article_id"": 705, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제655조"", ""article_title"": ""유해성 등의 주지""}, {""article_id"": 704, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제654조"", ""article_title"": ""보호구의 지급 등""}, {""article_id"": 695, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제644조"", ""article_title"": ""보호구의 지급 등""}, {""article_id"": 694, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제643조"", ""article_title"": ""구출 시 공기호흡기 또는 송기마스크의 사용""}]"
7,지급한 안전모와 보호구 관리는 어떻게 하나요?,보호구,산업안전보건기준에 관한 규칙,제33조,91,"[""보호구"", ""관리""]",,False,False,False,4913.97,"[{""article_id"": 718, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제668조"", ""article_title"": ""비전리전자기파에 의한 건강장해 예방 조치""}, {""article_id"": 705, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제655조"", ""article_title"": ""유해성 등의 주지""}, {""article_id"": 704, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제654조"", ""article_title"": ""보호구의 지급 등""}, {""article_id"": 695, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제644조"", ""article_title"": ""보호구의 지급 등""}, {""article_id"": 694, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제643조"", ""article_title"": ""구출 시 공기호흡기 또는 송기마스크의 사용""}]"
8,강풍이 불 때 고소 작업을 계속해도 되나요?,고소작업,산업안전보건기준에 관한 규칙,제37조,95,"[""강풍"", ""작업 중지""]",,False,False,False,4151.26,"[{""article_id"": 242, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제186조"", ""article_title"": ""고소작업대 설치 등의 조치""}, {""article_id"": 241, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제185조"", ""article_title"": ""연결장치""}, {""article_id"": 144, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제86조"", ""article_title"": ""탑승의 제한""}, {""article_id"": 79, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제20조"", ""article_title"": ""출입의 금지 등""}, {""article_id"": 18, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제186조"", ""article_title"": ""고소작업대 설치 등의 조치""}]"
9,작업 전 사전조사와 작업계획서는 언제 작성하나요?,위험성평가,산업안전보건기준에 관한 규칙,제38조,96,"[""사전조사"", ""작업계획서""]",,False,False,False,3037.08,"[{""article_id"": 723, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제674조"", ""article_title"": ""규제의 재검토""}, {""article_id"": 720, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제670조"", ""article_title"": ""농약원재료 방제작업 시의 조치""}, {""article_id"": 719, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제669조"", ""article_title"": ""직무스트레스에 의한 건강장해 예방 조치""}, {""article_id"": 718, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제668조"", ""article_title"": ""비전리전자기파에 의한 건강장해 예방 조치""}, {""article_id"": 717, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제667조"", ""article_title"": ""컴퓨터 단말기 조작업무에 대한 조치""}]"
10,현장 작업지휘자는 언제 지정해야 합니까?,관리감독,산업안전보건기준에 관한 규칙,제39조,97,"[""작업지휘자"", ""지정""]",,False,False,False,4841.76,"[{""article_id"": 392, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제332조의2"", ""article_title"": ""동바리 유형에 따른 동바리 조립 시의 안전조치""}, {""article_id"": 189, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제132조"", ""article_title"": ""양중기""}, {""article_id"": 140, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제82조"", ""article_title"": ""구급용구""}, {""article_id"": 91, ""law_name"": ""산업안전보건기준에 관한 규칙"", ""article_no"": ""제33조"", ""article_title"": ""보호구의 관리""}]"
